; Berechnung einer Kurve
;   Variable   :       8
;        Anfangswert:   0.000
;        Schritt    :   1.000
;        Endwert    :  20.000
;   Voreinstellungen:
;        Substrat   :  3.554  -2.034
;        Ambient    :  1.000   0.000
;        Winkel     : 70.000
;        Wellenl„nge:405.000
;   Schichten       :
;        oben       :  1.425  -0.172   0.000
;        mitte      :  1.000   0.000   0.000
;        unten      :  1.000   0.000   0.000
;   Ausgabe         : Psi und Delta
 19.519 131.884 (  0.000)
 19.703 129.263 (  1.000)
 19.903 126.720 (  2.000)
 20.116 124.255 (  3.000)
 20.341 121.870 (  4.000)
 20.577 119.563 (  5.000)
 20.823 117.333 (  6.000)
 21.076 115.180 (  7.000)
 21.337 113.102 (  8.000)
 21.604 111.097 (  9.000)
 21.876 109.162 ( 10.000)
 22.152 107.297 ( 11.000)
 22.432 105.499 ( 12.000)
 22.715 103.765 ( 13.000)
 23.000 102.094 ( 14.000)
 23.287 100.483 ( 15.000)
 23.575  98.930 ( 16.000)
 23.865  97.433 ( 17.000)
 24.155  95.991 ( 18.000)
 24.446  94.600 ( 19.000)
 24.737  93.259 ( 20.000)
